decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,month,year,day,decade,lat_grid,lon_grid,phylum_enc,class_enc,order_enc,family_enc,taxonRank_enc,basisOfRecord_enc,season_enc,species_richness,TARGET_sighting_density
17.414503,73.707928,200.0,7,2019,10,2010,17.4,73.7,2,0,2,6,4,3,0,51,505
17.439118,73.687756,3245.0,5,2003,7,2000,17.4,73.7,2,10,23,15,4,0,2,51,161
17.714568,73.844923,1000.0,12,1959,27,1950,17.7,73.8,2,9,5,5,4,0,3,40,174
17.535665,73.513001,50000.0,1,1914,7,1910,17.5,73.5,1,1,3,55,1,0,3,37,128
17.409519,73.717604,1500.0,11,2024,29,2020,17.4,73.7,2,0,2,6,4,3,1,51,307
17.464209,73.817397,1000.0,1,2008,3,2000,17.5,73.8,2,12,8,40,4,3,3,20,50
17.711305,73.469275,1000.0,12,1962,2,1960,17.7,73.5,1,8,9,44,4,3,3,7,53
17.366265,73.625165,30748.0,7,2025,7,2020,17.4,73.6,2,0,2,41,4,0,0,10,20
17.455179,73.708393,1000.0,9,2019,8,2010,17.5,73.7,2,10,23,15,4,0,0,15,25
17.708404,73.810166,30.0,7,2016,1,2010,17.7,73.8,2,10,23,24,4,3,0,40,210
17.441631,73.848595,1000.0,12,1952,6,1950,17.4,73.8,2,0,2,19,4,0,3,31,88
17.445636,73.465924,1826.0,12,2014,11,2010,17.4,73.5,1,1,3,48,4,0,3,6,11
17.697572,73.494095,1000.0,11,2015,13,2010,17.7,73.5,2,12,8,14,4,3,1,7,32
17.528553,73.525641,1000.0,9,2013,22,2010,17.5,73.5,1,1,3,35,1,0,0,37,106
17.363585,73.813508,1000.0,6,1953,7,1950,17.4,73.8,2,12,8,18,6,2,0,31,39
17.717335,73.80552,1000.0,11,2012,20,2010,17.7,73.8,2,0,2,19,4,0,1,40,127
17.549054,73.509045,1000.0,5,2025,10,2020,17.5,73.5,1,1,3,1,1,0,2,37,64
17.570253,73.832034,50.0,4,2015,16,2010,17.6,73.8,2,0,2,47,4,3,2,37,56
