lat_grid,lon_grid,day,month,year,decade,season_enc,coordinateUncertaintyInMeters,species_richness,order_enc,family_enc,class_enc,taxonRank_enc,basisOfRecord_enc,decimalLatitude,decimalLongitude,plant_sighting_density
17.4,73.7,12,9,2023,2020,3,549.0,112,19,46,1,2,0,17.434146,73.654336,941
17.7,73.8,23,10,2015,2010,3,3152.0,232,13,40,1,2,0,17.700794,73.794311,6544
17.4,73.7,12,10,1996,1990,3,549.0,112,12,6,1,2,0,17.404949,73.650718,941
17.7,73.8,24,9,2014,2010,3,205.0,232,11,35,1,2,0,17.70664,73.809761,6544
17.7,73.8,28,7,2024,2020,2,132.0,232,10,12,1,2,0,17.712709,73.808494,6544
17.7,73.8,3,4,2024,2020,1,549.0,232,2,59,0,2,0,17.741508,73.841934,6544
17.7,73.8,6,6,2015,2010,2,122.0,232,23,69,0,2,0,17.699451,73.791257,6544
17.3,73.7,23,9,2010,2010,3,5.0,4,10,12,1,2,0,17.329538,73.693836,20
17.6,73.8,12,9,2025,2020,3,244.0,81,23,69,0,2,0,17.581449,73.821017,884
17.4,73.6,20,10,2022,2020,3,549.0,60,11,35,1,2,0,17.422724,73.637448,435
17.7,73.8,20,9,2015,2010,3,227.0,232,6,31,1,2,0,17.730398,73.825406,6544
17.6,73.8,10,9,2012,2010,3,549.0,81,23,33,0,2,0,17.599967,73.844192,884
17.7,73.8,11,10,2018,2010,3,551.0,232,6,31,1,2,0,17.742077,73.834586,6544
17.7,73.8,5,9,2013,2010,3,1830.0,232,12,6,1,2,0,17.711961,73.825486,6544
17.7,73.8,19,8,2022,2020,2,1052.0,232,8,25,0,2,0,17.698993,73.804272,6544
17.7,73.8,15,9,2017,2010,3,549.0,232,1,5,1,2,0,17.721034,73.832795,6544
17.7,73.8,11,9,2017,2010,3,698.0,232,2,59,0,2,0,17.734055,73.820764,6544
17.7,73.8,29,9,2022,2020,3,3152.0,232,6,31,1,2,0,17.72457,73.813066,6544
17.7,73.8,12,10,2013,2010,3,205.0,232,19,50,1,2,0,17.735932,73.802707,6544
17.7,73.8,19,10,2013,2010,3,314.0,232,17,34,1,2,0,17.736108,73.816235,6544
17.7,73.8,24,10,2019,2010,3,3152.0,232,1,5,1,2,0,17.696234,73.826095,6544
17.7,73.8,2,11,2015,2010,3,464.0,232,1,5,1,2,0,17.744745,73.808956,6544
17.6,73.8,24,9,2019,2010,3,549.0,81,23,33,0,2,0,17.608709,73.847805,884
17.7,73.8,23,11,2016,2010,3,298.0,232,14,81,1,2,0,17.704123,73.827339,6544
17.7,73.8,20,8,2019,2010,2,227.0,232,6,31,1,2,0,17.717198,73.810774,6544
17.7,73.8,6,10,2025,2020,3,205.0,232,9,29,1,2,0,17.736311,73.812396,6544
17.7,73.8,19,9,2015,2010,3,27.0,232,14,0,1,2,0,17.72363,73.812035,6544
17.7,73.8,16,9,2015,2010,3,355.0,232,2,59,0,2,0,17.701471,73.803351,6544
17.7,73.8,5,9,2003,2000,3,549.0,232,18,48,1,2,0,17.719881,73.823812,6544
17.7,73.8,26,9,2025,2020,3,378.0,232,6,31,1,2,0,17.725017,73.819337,6544
17.7,73.8,21,12,2015,2010,0,205.0,232,11,35,1,2,0,17.740525,73.816697,6544
17.7,73.8,16,10,2015,2010,3,3152.0,232,14,0,1,2,0,17.728157,73.820526,6544
17.5,73.8,12,3,2014,2010,1,549.0,17,3,17,1,2,0,17.536601,73.820665,99
17.7,73.8,10,9,2018,2010,3,298.0,232,14,43,1,2,0,17.721418,73.834634,6544
17.7,73.8,12,9,2016,2010,3,205.0,232,30,82,1,2,0,17.73762,73.83076,6544
17.7,73.8,28,7,2012,2010,2,3152.0,232,14,0,1,2,0,17.699016,73.807776,6544
17.7,73.8,30,9,2014,2010,3,205.0,232,14,0,1,2,0,17.726427,73.820688,6544
