Feature,Importance
species_richness,0.6867783
lon_grid,0.17016052
basisOfRecord_enc,0.060268454
order_enc,0.022063078
family_enc,0.020889357
phylum_enc,0.0145815145
day,0.012870719
year,0.01238805
