coordinateUncertaintyInMeters,day,month,year,order_enc,family_enc,taxonRank_enc,basisOfRecord_enc,bird_sighting_density,decimalLatitude,decimalLongitude,lat_grid,lon_grid,decade,season_enc,species_richness
337.3333333333333,5,2,2010,14,8,1,0,4.0,17.548136,73.59089,17.5,73.6,2010,0,168
337.3333333333333,5,2,2010,13,22,1,0,4.0,17.548136,73.59089,17.5,73.6,2010,0,168
337.3333333333333,2,2,2010,13,22,1,0,2.0,17.548136,73.59089,17.5,73.6,2010,0,168
337.3333333333333,1,2,2010,13,22,1,0,3.0,17.548136,73.59089,17.5,73.6,2010,0,168
337.3333333333333,31,1,2010,13,22,1,0,3.0,17.548136,73.59089,17.5,73.6,2010,0,168
337.3333333333333,5,2,2010,13,22,1,0,4.0,17.548136,73.59089,17.5,73.6,2010,0,168
337.3333333333333,31,1,2010,13,22,1,0,3.0,17.548136,73.59089,17.5,73.6,2010,0,168
337.3333333333333,31,1,2010,20,72,0,0,1.0,17.548136,73.59089,17.5,73.6,2010,0,168
337.3333333333333,2,2,2010,20,72,0,0,1.0,17.548136,73.59089,17.5,73.6,2010,0,168
337.3333333333333,2,2,2010,13,19,1,0,8.0,17.548136,73.59089,17.5,73.6,2010,0,168
337.3333333333333,31,1,2010,13,19,1,0,6.0,17.548136,73.59089,17.5,73.6,2010,0,168
337.3333333333333,31,1,2010,13,19,1,0,10.0,17.548136,73.59089,17.5,73.6,2010,0,168
337.3333333333333,5,2,2010,13,19,1,0,10.0,17.548136,73.59089,17.5,73.6,2010,0,168
337.3333333333333,2,2,2010,13,38,1,0,1.0,17.548136,73.59089,17.5,73.6,2010,0,168
337.3333333333333,5,2,2010,8,18,1,0,1.0,17.548136,73.59089,17.5,73.6,2010,0,168
337.3333333333333,5,2,2010,13,38,1,0,2.0,17.548136,73.59089,17.5,73.6,2010,0,168
337.3333333333333,5,2,2010,13,38,1,0,1.0,17.548136,73.59089,17.5,73.6,2010,0,168
337.3333333333333,31,1,2010,13,38,1,0,2.0,17.548136,73.59089,17.5,73.6,2010,0,168
337.3333333333333,2,2,2010,8,18,1,0,1.0,17.548136,73.59089,17.5,73.6,2010,0,168
